,id,text,retweeted,place,screen_name,verified_user,followers_count,friends_count,polarity,nuetral_score,negative_score,positive_score,sentiment
0,1087737330843115520,"@sachin_rt @imVkohli He is the new god oh Indian cricket.  Virat come in the line of sobers, tendulkar,  grace, viv, haneef, bradman",False,Unnao,AsheeshDixit17,False,1,20,0.5994,0.803,0.0,0.197,1
1,1087733292256952324,"RT @SRT_for_ever: Cricket God Sachin Tendulkar Launches Dipa Karmakar's Book 'The Small Wonder' 

@sachin_rt || @100MasterBlastr || @DipaKa…",False,SRT Nation 🇮🇳 ,Priya_srt10,False,632,206,0.2732,0.89,0.0,0.11,1
2,1087733127567552513,"RT @SRT_for_ever: Cricket God Sachin Tendulkar Launches DipaKarmakar's Book 'The Small Wonder' 

CC :: 100MB",False,SRT Nation 🇮🇳 ,Priya_srt10,False,632,206,0.2732,0.87,0.0,0.13,1
3,1087732517682249728,"Cricket God Sachin Tendulkar Launches DipaKarmakar's Book 'The Small Wonder' 

CC :: 100MB",False,"Bankura, West Bengal",SRT_for_ever,False,1912,312,0.2732,0.851,0.0,0.149,1
4,1087731561901015040,"Cricket God Sachin Tendulkar Launches Dipa Karmakar's Book 'The Small Wonder' 

@sachin_rt || @100MasterBlastr ||… https://t.co/vbm0lf3Tze",False,"Bankura, West Bengal",SRT_for_ever,False,1912,312,0.2732,0.877,0.0,0.123,1
5,1087730420920274945,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,"Bankura, West Bengal",SRT_for_ever,False,1912,312,0.765,0.625,0.0,0.375,1
6,1087727265490894849,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,"Agra, India",Santosh95557389,False,209,449,0.765,0.625,0.0,0.375,1
7,1087724393017626625,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,भारत,Param_Sidhu77,False,296,342,0.765,0.625,0.0,0.375,1
8,1087724008118849536,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,भारत INDIA.,adisessantosh01,False,1100,2290,0.765,0.625,0.0,0.375,1
9,1087722372852002816,"RT @Im__Arfan: #WeThankLalitKingModi
IPL taught me how to handle pressure, says Prithvi Shaw https://t.co/WMfKKVIORK via @sportstarweb",False,"Jammu City , Jammu",IMViiku,False,65,292,-0.296,0.872,0.128,0.0,-1
10,1087721723989053440,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,,ravimaharaj20,False,100,863,0.765,0.625,0.0,0.375,1
11,1087720693658206208,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,"ʀᵒᵒʳᵏᵉᵉ, ɪⁿᵈⁱᵃ",Shahzebalvi4,False,1141,461,0.765,0.625,0.0,0.375,1
12,1087720588976799746,"RT @htTweets: .@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,India,HTSportsNews,True,90650,388,0.765,0.625,0.0,0.375,1
13,1087720559813816320,".@sachin_rt all praise for @imVkohli after @ICC Awards sweep

https://t.co/Bv5MkN11ZC https://t.co/jqwbJ99H0C",False,India,htTweets,True,6610772,153,0.765,0.577,0.0,0.423,1
14,1087720299745947649,"#WeThankLalitKingModi
IPL taught me how to handle pressure, says Prithvi Shaw https://t.co/WMfKKVIORK via @sportstarweb",False,"Bengaluru,Karnataka,India.",Im__Arfan,False,3498,405,-0.296,0.855,0.145,0.0,-1
15,1087719032277606404,"Hard Work, Perseverance Always Pays Off: Sachin Tendulkar on Virat Kohli The legendary Sachin Tendulkar has praised… https://t.co/fwA3evNVGd",False,03453808934,VOICE_2U,False,137,6,-0.1027,0.924,0.076,0.0,-1
16,1087714411391856642,"RT @emNishant: @ClubGeno Ans - (B) Sachin Tendulkar

#SPORTSTRIVIA #GenoSportsClub #Cricket #Football #quiz #Monday 
@ClubGeno

Join 🙌
@Van…",False,🇮🇳  MH-10,KulAnik8,False,2298,1976,0.296,0.872,0.0,0.128,1
17,1087713574942732293,"@imVkohli statistics can be broken but CAN'T Break the EMOTION called The SACHIN @sachin_rt

Virat Kohli will break… https://t.co/fXuBrtmOyY",False,"Mumbai, India",John_RAMbo91,False,37,247,-0.2617,0.898,0.102,0.0,-1
18,1087713461122011136,"Mumbai tour Sachin Tendulkar ""God of cricket"" house ... #Mumbai Tour",False,"jharsuguda,odisha,india",platonicsudhir,False,12,289,0.2732,0.826,0.0,0.174,1
19,1087713353479245824,"@ClubGeno Ans - (B) Sachin Tendulkar

#SPORTSTRIVIA #GenoSportsClub #Cricket #Football #quiz #Monday 
@ClubGeno

Jo… https://t.co/Ilxy9DgXyn",False,"Hyderabad, India",Chinnarayudu98,False,671,1573,0.0,1.0,0.0,0.0,0
